sample_id,language,tp,fp,fn,precision,recall,f1,fnr,fpr,model
49216A,English,3,0,0,1.0,1.0,1.0,0.0,0.0,regex_baseline
42180C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
41103C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
50517C,English,1,0,0,1.0,1.0,1.0,0.0,0.0,regex_baseline
44262B,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
43827B,English,1,4,0,0.2,1.0,0.3333,0.0,0.8,regex_baseline
43566A,English,1,2,0,0.3333,1.0,0.5,0.0,0.6667,regex_baseline
42532B,English,0,6,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
50434B,English,0,2,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
42073B,English,0,5,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
49662A,English,0,0,1,0.0,0.0,0.0,1.0,0.0,regex_baseline
50503B,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
52501A,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
47967A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
41907A,English,2,0,0,1.0,1.0,1.0,0.0,0.0,regex_baseline
48527A,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
46251C,English,0,1,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
41204G,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
41192A,English,0,2,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
41976C,English,0,4,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
43516A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
43696,English,2,6,1,0.25,0.6667,0.3636,0.3333,0.75,regex_baseline
47459B,English,3,3,0,0.5,1.0,0.6667,0.0,0.5,regex_baseline
48663A,English,0,1,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
41151A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
48150C,English,2,1,0,0.6667,1.0,0.8,0.0,0.3333,regex_baseline
43229B,English,1,2,0,0.3333,1.0,0.5,0.0,0.6667,regex_baseline
50125A,English,1,1,0,0.5,1.0,0.6667,0.0,0.5,regex_baseline
49336B,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
49908H,English,0,4,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
47964B,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
46214A,English,1,3,0,0.25,1.0,0.4,0.0,0.75,regex_baseline
43534D,English,0,0,0,0.0,0.0,0.0,0.0,0.0,regex_baseline
46667A,English,0,4,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
48515C,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
44299C,English,0,3,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
51439A,English,0,1,0,0.0,0.0,0.0,0.0,1.0,regex_baseline
52206B,English,4,0,0,1.0,1.0,1.0,0.0,0.0,regex_baseline
40838B,English,1,4,0,0.2,1.0,0.3333,0.0,0.8,regex_baseline
50770B,English,1,1,0,0.5,1.0,0.6667,0.0,0.5,regex_baseline
