sample_id,language,tp,fp,fn,precision,recall,f1,fnr,fpr,model
49216A,English,6,6,0,0.5,1.0,0.6667,0.0,0.5,openai_privacy_filter
42180C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
41103C,English,1,1,3,0.5,0.25,0.3333,0.75,0.5,openai_privacy_filter
50517C,English,1,1,0,0.5,1.0,0.6667,0.0,0.5,openai_privacy_filter
44262B,English,4,22,17,0.1538,0.1905,0.1702,0.8095,0.8462,openai_privacy_filter
43827B,English,4,27,15,0.129,0.2105,0.16,0.7895,0.871,openai_privacy_filter
43566A,English,3,7,2,0.3,0.6,0.4,0.4,0.7,openai_privacy_filter
42532B,English,2,18,9,0.1,0.1818,0.129,0.8182,0.9,openai_privacy_filter
50434B,English,2,7,3,0.2222,0.4,0.2857,0.6,0.7778,openai_privacy_filter
42073B,English,6,12,3,0.3333,0.6667,0.4444,0.3333,0.6667,openai_privacy_filter
49662A,English,1,3,3,0.25,0.25,0.25,0.75,0.75,openai_privacy_filter
50503B,English,4,24,15,0.1429,0.2105,0.1702,0.7895,0.8571,openai_privacy_filter
52501A,English,3,14,5,0.1765,0.375,0.24,0.625,0.8235,openai_privacy_filter
47967A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
41907A,English,2,4,1,0.3333,0.6667,0.4444,0.3333,0.6667,openai_privacy_filter
48527A,English,2,10,5,0.1667,0.2857,0.2105,0.7143,0.8333,openai_privacy_filter
46251C,English,2,6,2,0.25,0.5,0.3333,0.5,0.75,openai_privacy_filter
41204G,English,1,8,5,0.1111,0.1667,0.1333,0.8333,0.8889,openai_privacy_filter
41192A,English,0,7,4,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
41976C,English,4,19,10,0.1739,0.2857,0.2162,0.7143,0.8261,openai_privacy_filter
43516A,English,0,10,5,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
43696,English,5,20,8,0.2,0.3846,0.2632,0.6154,0.8,openai_privacy_filter
47459B,English,4,8,1,0.3333,0.8,0.4706,0.2,0.6667,openai_privacy_filter
48663A,English,0,2,1,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
41151A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
48150C,English,2,10,4,0.1667,0.3333,0.2222,0.6667,0.8333,openai_privacy_filter
43229B,English,4,20,12,0.1667,0.25,0.2,0.75,0.8333,openai_privacy_filter
50125A,English,1,9,5,0.1,0.1667,0.125,0.8333,0.9,openai_privacy_filter
49336B,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
49908H,English,0,10,5,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
47964B,English,0,4,2,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
46214A,English,1,11,6,0.0833,0.1429,0.1053,0.8571,0.9167,openai_privacy_filter
43534D,English,1,3,2,0.25,0.3333,0.2857,0.6667,0.75,openai_privacy_filter
46667A,English,2,14,8,0.125,0.2,0.1538,0.8,0.875,openai_privacy_filter
48515C,English,0,12,3,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
44299C,English,0,10,4,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
51439A,English,0,6,4,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
52206B,English,7,9,11,0.4375,0.3889,0.4118,0.6111,0.5625,openai_privacy_filter
40838B,English,3,5,1,0.375,0.75,0.5,0.25,0.625,openai_privacy_filter
50770B,English,1,25,11,0.0385,0.0833,0.0526,0.9167,0.9615,openai_privacy_filter
51381C,English,6,14,7,0.3,0.4615,0.3636,0.5385,0.7,openai_privacy_filter
42798B,English,0,0,1,0.0,0.0,0.0,1.0,0.0,openai_privacy_filter
49902A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
46260B,English,5,17,12,0.2273,0.2941,0.2564,0.7059,0.7727,openai_privacy_filter
45169A,English,3,17,8,0.15,0.2727,0.1935,0.7273,0.85,openai_privacy_filter
44299A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
42750C,English,0,16,7,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
43461A,English,3,9,4,0.25,0.4286,0.3158,0.5714,0.75,openai_privacy_filter
53399C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
50829A,English,2,15,8,0.1176,0.2,0.1481,0.8,0.8824,openai_privacy_filter
45106A,English,3,7,2,0.3,0.6,0.4,0.4,0.7,openai_privacy_filter
42071E,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
41960C,English,3,8,4,0.2727,0.4286,0.3333,0.5714,0.7273,openai_privacy_filter
45677B,English,0,14,11,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
42010A,English,4,13,8,0.2353,0.3333,0.2759,0.6667,0.7647,openai_privacy_filter
45387C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
51915A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
45220D,English,1,2,2,0.3333,0.3333,0.3333,0.6667,0.6667,openai_privacy_filter
48697A,English,1,13,5,0.0714,0.1667,0.1,0.8333,0.9286,openai_privacy_filter
44113A,English,1,3,1,0.25,0.5,0.3333,0.5,0.75,openai_privacy_filter
51419B,English,4,11,6,0.2667,0.4,0.32,0.6,0.7333,openai_privacy_filter
41341B,English,4,15,6,0.2105,0.4,0.2759,0.6,0.7895,openai_privacy_filter
50328A,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
46783B,English,0,7,0,0.0,0.0,0.0,0.0,1.0,openai_privacy_filter
47842B,English,1,13,8,0.0714,0.1111,0.087,0.8889,0.9286,openai_privacy_filter
42335B,English,0,28,13,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
52890H,English,0,2,1,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
45661C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
41803C,English,1,5,0,0.1667,1.0,0.2857,0.0,0.8333,openai_privacy_filter
48022B,English,4,16,12,0.2,0.25,0.2222,0.75,0.8,openai_privacy_filter
44525A,English,2,15,8,0.1176,0.2,0.1481,0.8,0.8824,openai_privacy_filter
51675B,English,1,7,2,0.125,0.3333,0.1818,0.6667,0.875,openai_privacy_filter
49099C,English,0,16,8,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
48938A,English,0,19,13,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
52431A,English,2,8,1,0.2,0.6667,0.3077,0.3333,0.8,openai_privacy_filter
52107A,English,5,9,0,0.3571,1.0,0.5263,0.0,0.6429,openai_privacy_filter
45434B,English,0,51,25,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
48366B,English,1,9,5,0.1,0.1667,0.125,0.8333,0.9,openai_privacy_filter
43173C,English,0,10,4,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
49984C,English,3,20,12,0.1304,0.2,0.1579,0.8,0.8696,openai_privacy_filter
41673B,English,4,15,10,0.2105,0.2857,0.2424,0.7143,0.7895,openai_privacy_filter
41368A,English,5,18,11,0.2174,0.3125,0.2564,0.6875,0.7826,openai_privacy_filter
49476D,English,1,6,6,0.1429,0.1429,0.1429,0.8571,0.8571,openai_privacy_filter
43632A,English,3,11,5,0.2143,0.375,0.2727,0.625,0.7857,openai_privacy_filter
50938A,English,7,11,0,0.3889,1.0,0.56,0.0,0.6111,openai_privacy_filter
44471D,English,1,1,1,0.5,0.5,0.5,0.5,0.5,openai_privacy_filter
41810B,English,2,10,5,0.1667,0.2857,0.2105,0.7143,0.8333,openai_privacy_filter
52009C,English,0,2,2,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
43699B,English,2,9,6,0.1818,0.25,0.2105,0.75,0.8182,openai_privacy_filter
52165C,English,4,24,14,0.1429,0.2222,0.1739,0.7778,0.8571,openai_privacy_filter
42062C,English,3,10,4,0.2308,0.4286,0.3,0.5714,0.7692,openai_privacy_filter
45677C,English,0,10,8,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
44299B,English,0,12,5,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
46710A,English,2,2,0,0.5,1.0,0.6667,0.0,0.5,openai_privacy_filter
49181E,English,0,6,3,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
51735B,English,4,4,2,0.5,0.6667,0.5714,0.3333,0.5,openai_privacy_filter
45470C,English,2,17,11,0.1053,0.1538,0.125,0.8462,0.8947,openai_privacy_filter
42838D,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
45549C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
45358B,English,3,9,7,0.25,0.3,0.2727,0.7,0.75,openai_privacy_filter
43370C,English,5,12,5,0.2941,0.5,0.3704,0.5,0.7059,openai_privacy_filter
49580B,English,4,8,5,0.3333,0.4444,0.381,0.5556,0.6667,openai_privacy_filter
44153C,English,0,0,0,0.0,0.0,0.0,0.0,0.0,openai_privacy_filter
49914B,English,2,10,6,0.1667,0.25,0.2,0.75,0.8333,openai_privacy_filter
53088A,English,2,6,2,0.25,0.5,0.3333,0.5,0.75,openai_privacy_filter
49722C,English,1,9,5,0.1,0.1667,0.125,0.8333,0.9,openai_privacy_filter
49312C,English,1,1,5,0.5,0.1667,0.25,0.8333,0.5,openai_privacy_filter
41713A,English,3,13,7,0.1875,0.3,0.2308,0.7,0.8125,openai_privacy_filter
48780C,English,3,8,5,0.2727,0.375,0.3158,0.625,0.7273,openai_privacy_filter
49180B,English,0,20,9,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
42948D,English,1,3,1,0.25,0.5,0.3333,0.5,0.75,openai_privacy_filter
47828C,English,0,6,8,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
50313B,English,0,24,14,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
43827A,English,0,4,1,0.0,0.0,0.0,1.0,1.0,openai_privacy_filter
